2021-10-11 09:44:45,352 MDT INFO   log.monitoring 1155 [localhost-startStop-1] **** Server Started (logVersion=1.4) ****
2021-10-11 09:44:45,354 MDT INFO   log.monitoring 1155 [localhost-startStop-1] ,max mem (MB),total mem (MB),free mem (MB),strings pool,integers pool,other objects pool
2021-10-11 10:15:55,951 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,330,212,0,
2021-10-11 10:16:05,955 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,271,221,0,
2021-10-11 10:16:15,960 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,251,223,0,
2021-10-11 10:16:25,963 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,281,220,0,
2021-10-11 10:16:35,964 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,183,225,0,
2021-10-11 10:16:45,965 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,267,221,0,
2021-10-11 10:16:55,968 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,250,225,0,
2021-10-11 10:17:05,974 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,241,222,0,
2021-10-11 10:17:15,978 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,175,232,0,
2021-10-11 10:17:25,988 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,186,232,0,
2021-10-11 10:17:35,990 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,161,232,0,
2021-10-11 10:17:45,994 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,190,232,0,
2021-10-11 10:17:55,998 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,181,238,0,
2021-10-11 10:18:06,003 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,172,235,0,
2021-10-11 10:18:16,004 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,126,239,0,
2021-10-11 10:18:26,009 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,142,241,0,
2021-10-11 10:18:36,012 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,143,242,0,
2021-10-11 10:18:46,014 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,122,242,0,
2021-10-11 10:18:56,017 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,519,117,0,
2021-10-11 10:19:06,022 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,846,127,0,
2021-10-11 10:19:16,022 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,731,128,0,
2021-10-11 10:19:26,027 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,726,128,0,
2021-10-11 10:19:36,033 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,458,156,0,
2021-10-11 10:19:46,038 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,798,130,0,
2021-10-11 10:19:56,038 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,425,152,0,
2021-10-11 10:20:06,039 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,346,152,0,
2021-10-11 10:20:16,043 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,853,133,0,
2021-10-11 10:20:26,058 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,786,135,0,
2021-10-11 10:20:36,060 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,784,136,0,
2021-10-11 10:20:46,066 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,701,136,0,
2021-10-11 10:20:56,072 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,279,143,0,
2021-10-11 10:21:06,075 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,477,201,0,
2021-10-11 10:21:16,080 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,709,154,0,
2021-10-11 10:21:26,085 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,546,200,0,
2021-10-11 10:21:36,089 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,535,200,0,
2021-10-11 10:21:46,093 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,244,201,0,
